nu_obs,nu_rest,nuLnu,nuLnu_err,upp
599584915999.9999,1210561945403.9998,1.0946081470901303e+45,2.7365203677253257e+44,True
666205462222.2217,1345068828226.6658,2.6605059130662877e+45,6.651264782665719e+44,True
856549879999.9998,1729374207719.9995,1.4659930541385673e+45,3.664982635346418e+44,True
1199169832000.0,2421123890808.0,2.531281340145927e+45,6.841300919313316e+44,False
13626929909090.895,27512771486454.52,1.398694061871242e+46,1.11133990163508e+45,False
26068909391304.332,52633128061043.45,1.2795344140331137e+46,1.1744015680773335e+45,False
65314261002178.53,131869492963398.47,1.4602479237428816e+46,3.051603449718618e+44,False
89490285970149.14,180680887373731.12,1.05803133332162e+46,2.7361750446939774e+44,False
138792804629629.38,280222672547221.72,8.922243076990058e+45,6.4624380593004834e+44,False
180597866265060.25,364627091989156.7,7.125871287118388e+45,5.016147108628225e+44,False
243733705691056.78,492098351790243.7,1.3413754303112161e+46,7.830797228823864e+44,False
335638667711598.6,677654470109717.6,1.3988131592485167e+46,1.4193712808839128e+44,False
400792056149731.94,809199161366308.9,1.7447972322738002e+46,2.5711788555720955e+44,False
486202494323709.6,981642836039569.8,2.3756231393092074e+46,6.69480477528259e+45,False
639761967562953.5,1291679412509603.2,2.733207661331359e+46,2.0501983745714867e+44,False
844247980850465.0,1704536673337089.0,3.3198855761598637e+46,3.0706157608217686e+44,False
1297802848484846.5,2620263951090905.0,1.7748019678860108e+46,8.514527502283868e+44,False
1946704272727270.0,3930395926636358.5,1.0119242334827513e+46,1.2774312898664908e+45,False
