nu_obs,nu_rest,nuLnu,nuLnu_err,upp
599584915999.9999,1453393836384.0,2.3710362205770322e+45,5.9275905514425805e+44,True
856549879999.9998,2076276909119.9998,3.8388205476009086e+45,7.903454068590106e+44,False
1199169832000.0,2906787672768.0005,8.535730394077317e+45,1.1064835696026153e+45,False
13626929909090.895,33031678099636.332,9.626588155147178e+45,1.3047701571117346e+45,False
26068909391304.332,63191036364521.71,9.567848755074522e+45,4.175079729105305e+44,False
65314261002178.53,158321768669280.78,8.245885292518918e+45,2.1568148602875034e+44,False
89490285970149.14,216924453191641.56,5.49349255358586e+45,1.7873438166635164e+44,False
138792804629629.38,336433758422221.7,5.2920996554931855e+45,1.8844440547040877e+45,False
180597866265060.25,437769227826506.1,8.119878363023988e+45,1.7452707289657627e+45,False
243733705691056.78,590810502595121.8,4.348717734461412e+45,1.6617858850547217e+45,False
335638667711598.6,813588130532915.2,2.5276519451654434e+45,2.2092949544852243e+44,False
400792056149731.94,971519944106950.4,3.546244781567614e+45,8.489777028484471e+43,False
486202494323709.6,1178554846240672.2,4.0113035101041413e+45,8.021934896026822e+43,False
639761967562953.5,1550783009372599.5,4.745378813015305e+45,8.8872963025127295e+43,False
844247980850465.0,2046457105581527.5,5.0512938598959685e+45,1.662966295641608e+44,False
