# Obtained from SDSS, fits file spec-1922-53315-0582.fits, url=
#Ang,e-17 erg/s/cm2/Ang,e-17 erg/s/cm2/Ang
wavelength,flux,fluxerr
3977.4075,13.554831,1.4351339
3978.3225,12.769571,1.4314097
3979.2397,11.340901,1.4229666
3980.1553,11.683579,1.40915
3981.0708,13.670282,1.4260085
3981.9888,13.3867,1.4075376
3982.905,11.217087,1.3664492
3983.8232,13.0591755,1.3668876
3984.7397,13.14927,1.3716477
3985.6587,13.885378,1.395061
3986.5757,14.404052,1.4243013
3987.4927,12.067759,1.3882636
3988.412,11.94424,1.4003938
3989.3298,12.913562,1.404385
3990.2498,11.581199,1.3961151
3991.1677,10.246647,1.3723525
3992.088,11.460017,1.3873488
3993.0063,11.553423,1.4165151
3993.925,12.962274,1.4749731
3994.846,13.414097,1.4794825
3995.765,12.285738,1.4507278
3996.6863,13.261307,1.4441407
3997.6057,11.136881,1.3816516
3998.5276,11.876815,1.3674576
3999.4475,12.798757,1.3762147
4000.3674,10.23638,1.3820719
4001.29,10.217613,1.6870404
4002.2104,11.625229,1.6539998
4003.1333,10.032843,1.6490945
4004.0544,14.350963,1.7152915
4004.9775,14.304315,1.7272667
4005.899,13.4201355,1.4931782
4006.8206,13.04754,1.3988435
4007.7446,10.084421,1.3576938
4008.6665,10.618676,1.3615382
4009.5908,12.992954,1.3872902
4010.5132,10.233645,1.3789178
4011.438,10.479323,1.4334768
4012.3608,8.344164,1.4552704
4013.284,12.397258,1.505172
4014.2095,11.167685,1.4488155
4015.1328,12.824748,1.4253083
4016.0588,10.756999,1.3712729
4016.9827,10.651373,1.3427305
4017.909,10.719384,1.3280394
4018.8333,10.410499,1.3263882
4019.7578,12.192621,1.6324533
4020.6848,12.496758,1.6873842
4021.6096,11.65841,1.7663615
4022.537,10.326725,1.4121045
4023.4624,11.967366,1.4303752
4024.3901,9.419191,1.4984859
4025.3162,12.869613,1.5619131
4026.2422,14.559609,1.5805107
4027.1704,13.731884,1.5715905
4028.097,11.493497,1.5159386
4029.026,9.886993,1.444961
4029.9526,13.339801,1.3930445
4030.882,12.891655,1.3468227
4031.8093,11.138272,1.2932372
4032.739,11.432324,1.2997721
4033.6667,12.155133,1.3367552
4034.5947,11.415643,1.3881369
4035.5251,8.882345,1.363248
4036.4534,9.343047,1.3570417
4037.3843,11.514434,1.3577391
4038.313,13.221291,1.4255111
4039.2441,14.043992,1.4626284
4040.1736,11.819054,1.4531742
4041.103,13.053634,1.4316509
4042.0347,10.9131565,1.3581338
4042.9646,11.343377,1.3416897
4043.897,11.580955,1.3468978
4044.8271,12.9778385,1.3514107
4045.76,12.008683,1.3070959
4046.6907,11.197016,1.3484179
4047.6216,12.727885,1.460682
4048.555,12.845653,1.5672256
4049.4863,11.6686325,1.6012869
4050.4202,11.785363,1.59881
4051.352,11.506492,1.571597
4052.2861,11.627572,1.5303761
4053.2185,9.185067,1.4496655
4054.151,10.2348175,1.3941399
4055.0857,12.449,1.379349
4056.0186,15.012882,1.4099528
4056.9539,14.714578,1.3867811
4057.8872,10.865566,1.3117186
4058.823,10.093974,1.2692425
4059.7566,11.6391735,1.3224412
4060.6907,12.140307,1.3685389
4061.627,12.341743,1.3974788
4062.5613,11.068779,1.3731011
4063.4983,11.580489,1.337157
4064.433,12.024174,1.291961
4065.37,12.458514,1.2928368
4066.3054,13.684074,1.320098
4067.241,11.72111,1.3187155
4068.1787,6.1908426,1.2796693
4069.1147,6.356843,1.3346783
4070.053,8.956912,1.4476826
4070.9893,9.479777,1.4385135
4071.928,11.19478,1.3778417
4072.8647,11.794071,1.2989163
4073.8018,10.823358,1.2909267
4074.7412,13.651096,1.347211
4075.6787,14.3487625,1.3593255
4076.6184,12.66144,1.3264405
4077.5562,12.214211,1.3136511
4078.4966,10.789765,1.287702
4079.4348,11.94052,1.2797244
4080.3733,9.999596,1.2836198
4081.3142,10.870617,1.3272551
4082.2532,12.902147,1.3623796
4083.1943,13.762644,1.3643155
4084.1338,11.533779,1.3301828
4085.0757,12.052772,1.315263
4086.0154,12.618455,1.3480059
