nu_obs,nu_rest,nuLnu,nuLnu_err,upp
599584915999.9999,1524744441387.9998,5.118348457944963e+45,8.69153511726503e+44,False
856549879999.9998,2178206344839.9995,1.227851786407282e+46,1.1036869990177817e+45,False
1199169832000.0,3049488882776.0,1.6610489335217617e+46,1.7383070234530064e+45,False
13626929909090.895,34653282758818.15,1.2675449956163293e+46,1.817129896056794e+45,False
26068909391304.332,66293236582086.92,1.0582138990613728e+46,2.309408781553955e+45,False
65314261002178.53,166094165728540.0,1.0365540471180603e+46,2.932504156342759e+44,False
89490285970149.14,227573797222089.28,8.496351604889705e+45,1.1590127603558597e+45,False
138792804629629.38,352950102173147.5,1.0504279248317397e+46,2.3495003164501633e+45,False
180597866265060.25,459260373912048.25,1.215753230439747e+46,2.2764632221513316e+45,False
243733705691056.78,619814813572357.4,1.0648859848417262e+46,2.172319193152881e+45,False
335638667711598.6,853529131990595.4,2.1612475485031534e+46,2.076580648886492e+44,False
400792056149731.94,1019214198788768.4,2.95803413744621e+46,7.179702567626741e+44,False
486202494323709.6,1236412943065193.8,3.0165127349567887e+46,1.6931462139627596e+45,False
639761967562953.5,1626914683512590.8,3.867076402969854e+46,2.8676535340885516e+44,False
844247980850465.0,2146922615302732.5,3.70396721194333e+46,3.4215424977200404e+44,False
1297802848484846.5,3300312643696965.0,8.473789420747554e+45,4.679609499621482e+44,False
1946704272727270.0,4950468965545448.0,6.29075776263645e+43,9.481802411956679e+43,False
