nu_obs,nu_rest,nuLnu,nuLnu_err,upp
230609583076.9229,551156903553.8457,1.6024988416382992e+44,4.86472862640198e+43,False
352697009411.7645,842945852494.1171,3.545023697993969e+44,7.440173193320676e+43,False
599584915999.9999,1433007949239.9995,2.0832484941297902e+45,3.720086596660339e+44,False
856549879999.9998,2047154213199.999,3.5075102197083196e+45,4.2515275390403874e+44,False
1199169832000.0,2866015898479.9995,4.9105143075916493e+45,8.928207831984817e+44,False
13626929909090.895,32568362482727.234,1.2742790467010522e+46,1.0527545236810279e+45,False
26068909391304.332,62304693445217.34,7.294538576459169e+45,3.336948414889457e+44,False
65314261002178.53,156101083795206.66,4.717382926162825e+45,1.5592432347117793e+44,False
89490285970149.14,213881783468656.4,4.153190861930323e+45,2.06411744180255e+44,False
138792804629629.38,331714803064814.2,5.382833238554665e+45,1.8773280342326552e+45,False
180597866265060.25,431628900373493.94,3.741976037673545e+45,3.437380605741427e+44,False
243733705691056.78,582523556601625.6,3.412576500176513e+45,1.8211139686930382e+45,False
