# Obtained from SDSS, fits file spec-5881-56038-0872.fits, url=
#Ang,e-17 erg/s/cm2/Ang,e-17 erg/s/cm2/Ang
wavelength,flux,fluxerr
3764.437,79.40727,3.1354585
3765.3032,82.04458,3.1752746
3766.1714,82.129036,3.1699722
3767.0378,80.52243,3.1579843
3767.9065,82.546,3.1551478
3768.7732,83.45052,3.1766946
3769.6401,76.61867,3.071345
3770.5095,88.78273,3.2705889
3771.377,85.07832,3.2065468
3772.2466,82.42089,3.1638954
3773.1145,84.353775,3.1895578
3773.9844,86.0552,3.2128084
3774.8528,88.09869,3.237069
3775.721,84.949455,3.1958468
3776.5918,87.7027,3.2364802
3777.4604,84.35044,3.1692376
3778.3315,80.68289,3.139573
3779.201,83.55009,3.1655264
3780.0723,86.52464,3.2292888
3780.942,89.28117,3.2641675
3781.8118,88.18964,3.2593253
3782.6838,92.8451,3.292579
3783.554,93.97656,3.2847688
3784.4265,87.53455,3.187599
3785.297,87.127686,3.16312
3786.17,89.61435,3.1878784
3787.041,91.32098,3.2015564
3787.912,85.60179,3.0667334
3788.7856,83.75434,3.0617776
3789.6572,88.76219,3.0844538
3790.531,86.707115,3.1024835
3791.403,86.20649,3.082709
3792.2773,84.73691,3.0286644
3793.15,81.98402,3.0188932
3794.0225,85.68064,3.0441265
3794.8972,90.07864,3.1239843
3795.7703,82.81542,3.0659583
3796.6455,94.91983,3.1701179
3797.519,91.17809,3.2052774
3798.3948,92.91867,3.1698186
3799.2686,97.23068,3.264784
3800.1426,91.79386,3.1719737
3801.0188,83.91486,3.0279484
3801.8933,88.84977,3.1105416
3802.77,90.84504,3.1590998
3803.6448,91.404045,3.167633
3804.522,94.61016,3.204283
3805.3972,93.837555,3.175911
3806.2727,83.72863,3.00997
3807.1504,94.50165,3.1887302
3808.0261,93.32558,3.1605713
3808.9043,94.395004,3.1559522
3809.7805,96.53122,3.1847262
3810.659,93.219765,3.1233451
3811.5356,90.50817,3.076261
3812.4126,91.17505,3.0756793
3813.2917,92.90069,3.1170578
3814.169,94.27867,3.102729
3815.0483,92.34948,3.0699189
3815.926,89.22884,3.0357196
3816.806,91.751564,3.0574389
3817.684,95.427155,3.1295702
3818.5623,98.91282,3.1577215
3819.4429,99.832924,3.2014601
3820.3215,99.01967,3.1518278
3821.2024,98.74174,3.1659682
3822.0815,98.56258,3.1273377
3822.963,94.86154,3.144781
3823.8423,106.59987,3.2147775
3824.724,99.120605,3.1947567
3825.604,94.62439,3.0803926
3826.4841,105.723885,3.2171087
3827.3665,99.1882,3.147623
3828.2468,99.86121,3.168277
3829.1296,106.39923,3.2545378
3830.0105,103.56921,3.2616217
3830.8938,101.38941,3.2142265
3831.7751,106.44011,3.2839267
3832.6565,108.29679,3.334972
3833.5403,117.21761,3.427809
3834.4224,106.246284,3.305554
3835.3064,104.99678,3.2418904
3836.1887,109.3188,3.2864916
3837.0735,106.63872,3.2582192
3837.956,106.63612,3.2429173
3838.839,110.97555,3.318644
3839.7244,114.35825,3.3438966
3840.6077,110.41398,3.2809374
3841.4932,108.47328,3.2601452
3842.377,113.01847,3.3166454
3843.263,113.46498,3.324706
3844.1472,111.14994,3.2984183
3845.0315,115.23856,3.3560665
3845.9182,114.04993,3.3199663
3846.803,112.90265,3.333515
3847.69,118.01004,3.3832448
3848.5752,118.99788,3.3461032
3849.4626,107.59604,3.2546406
3850.3481,114.01969,3.2426076
3851.234,111.59575,3.270668
3852.122,110.47339,3.2111514
3853.0083,117.446915,3.2932863
3853.8967,110.84509,3.2469134
3854.7832,114.09636,3.2656753
3855.672,118.21412,3.315557
3856.559,111.15597,3.233784
3857.4463,107.12075,3.1364877
3858.336,111.80902,3.1939101
3859.2234,108.60215,3.1394744
3860.1135,108.0445,3.1084657
3861.0015,104.744255,3.0416758
3861.8918,98.84528,2.958017
3862.7803,95.52272,2.8925617
3863.6687,96.24438,2.895154
3864.5598,96.35495,2.9041631
3865.4487,96.16783,2.9006293
3866.34,97.98497,2.9243486
3867.2297,97.2918,2.8903847
3868.1213,94.125305,2.847077
3869.0112,92.40992,2.8084705
3869.9014,93.56393,2.8038197
3870.7937,90.94792,2.7627196
3871.684,93.23306,2.8033047
3872.577,97.76484,2.88006
3873.4678,97.23684,2.848468
3874.361,92.19594,2.7956717
3875.2524,91.15032,2.7554646
3876.1438,90.02501,2.739522
3877.0376,91.224365,2.7652404
3877.9297,89.86103,2.715941
3878.8237,87.85159,2.6890197
3879.716,88.49237,2.6863182
3880.6108,89.62909,2.6872456
3881.5037,88.28562,2.6835117
3882.3965,91.16325,2.689668
3883.2917,88.212105,2.6689065
3884.185,85.061646,2.6158895
3885.0808,87.94478,2.649137
3885.9746,89.76367,2.6849637
3886.8706,88.241234,2.6453512
3887.765,85.51398,2.6245685
3888.6592,88.25203,2.637562
3889.556,87.487495,2.630809
3890.4507,81.98891,2.5598445
3891.348,86.17604,2.6081843
3892.243,89.11574,2.6593606
3893.1406,88.62411,2.6463952
3894.0361,87.02741,2.6092927
3894.934,85.76557,2.5767345
3895.83,84.922935,2.5569868
3896.7263,84.621506,2.5514476
3897.625,86.09769,2.5559492
3898.5215,85.48269,2.5557024
3899.4207,80.815384,2.447644
3900.3176,81.251274,2.5066016
3901.217,85.49796,2.510896
3902.1145,80.204346,2.5024316
3903.0122,83.50141,2.4899454
3903.912,80.51174,2.4740157
3904.8103,78.564224,2.4261153
3905.7107,81.275475,2.4788654
3906.6094,83.0879,2.5224087
3907.51,78.95331,2.46369
3908.409,79.952576,2.4565904
3909.308,81.50935,2.480119
3910.2097,81.66312,2.4754326
3911.1091,80.79247,2.4848225
3912.011,81.8694,2.5004008
3912.9111,85.48141,2.552314
3913.8132,79.28015,2.4429407
3914.7136,77.7543,2.4070153
3915.6143,78.109474,2.4054303
3916.517,77.202225,2.3785174
3917.4182,77.35518,2.3935635
3918.3215,79.660286,2.386396
3919.223,72.56114,2.3029315
3920.1267,76.424324,2.3408887
3921.0286,77.28948,2.3393536
3921.9307,75.97995,2.3394613
3922.835,77.50235,2.3375285
3923.7373,76.50829,2.3313076
3924.642,76.61754,2.317067
3925.5452,74.225685,2.285592
3926.4502,74.25953,2.2848165
3927.3535,76.35919,2.3094625
3928.257,75.70045,2.3029535
3929.1628,71.554474,2.2426755
3930.0667,74.59387,2.2656903
3930.9731,72.20844,2.2463336
3931.8774,71.087,2.2038891
3932.784,69.482056,2.1823533
3933.6887,65.87941,2.1178024
3934.5938,66.62517,2.1234593
3935.501,66.85021,2.1297574
3936.4062,69.31322,2.1715188
3937.3142,72.25809,2.213493
3938.22,74.88866,2.2590911
3939.128,74.25693,2.2350028
3940.0342,68.167145,2.1750176
3940.9407,70.37743,2.186122
3941.8494,72.2888,2.2475507
3942.756,70.27389,2.180833
3943.6653,69.96362,2.2179577
3944.5725,72.184746,2.1936576
3945.4822,69.983696,2.185485
3946.39,71.209915,2.179192
3947.2979,68.82409,2.1345232
3948.208,66.79947,2.129832
3949.1162,67.13241,2.0926952
3950.0269,69.04052,2.1558466
3950.9355,71.06822,2.1743336
3951.8467,70.01741,2.17039
3952.7559,71.08019,2.173992
3953.665,69.80468,2.1689522
3954.577,69.803085,2.149379
3955.4866,70.26551,2.1547196
3956.3987,64.20637,2.0604742
3957.3088,69.624435,2.1334107
3958.2214,68.22376,2.1116056
3959.132,67.09522,2.094267
3960.045,67.41662,2.097804
3960.956,66.811554,2.0871978
3961.8672,67.16826,2.0919442
3962.7808,66.071014,2.0872688
3963.6924,68.201416,2.087016
3964.6064,68.9979,2.120758
3965.5186,68.11768,2.0747566
3966.4329,68.837616,2.1092203
3967.3455,69.96094,2.0756445
3968.258,60.847546,1.9892604
3969.173,63.41556,1.9850811
3970.0862,67.95428,2.0606284
3971.0017,68.53952,2.0891833
3971.9153,67.87577,2.073421
3972.8313,67.69885,2.0681217
3973.745,62.37189,1.99211
3974.6592,63.715527,2.0004532
3975.576,66.21877,2.054646
3976.4905,68.0131,2.0780792
3977.4075,68.52799,2.0926
3978.3225,65.05675,2.0362535
3979.2397,64.37593,2.0188568
3980.1553,65.68711,2.0388925
3981.0708,67.4759,2.0726798
3981.9888,67.1129,2.0521877
3982.905,63.60863,2.0003476
3983.8232,60.527527,1.9673358
3984.7397,63.494286,1.9808127
3985.6587,63.99636,2.0090773
3986.5757,62.36062,1.962242
3987.4927,61.35964,1.9520978
3988.412,63.764374,1.9884063
3989.3298,68.68828,2.0600739
3990.2498,65.34922,2.030787
3991.1677,66.314125,2.0404713
3992.088,69.24144,2.0741942
3993.0063,67.98583,2.0656605
3993.925,64.397995,2.016015
3994.846,66.48121,2.0241613
3995.765,66.74297,2.043365
3996.6863,67.981094,2.0411038
3997.6057,65.31216,2.0086784
3998.5276,61.83301,1.9654952
3999.4475,62.853695,1.9859955
4000.3674,65.99674,2.0121965
4001.29,63.133636,1.9919511
4002.2104,62.938816,1.9952894
4003.1333,64.341675,1.9815724
4004.0544,62.19115,1.9754533
4004.9775,59.084515,1.9140139
4005.899,62.5382,1.9514282
4006.8206,58.748646,1.9284606
4007.7446,62.064075,1.9581692
4008.6665,64.57391,2.0186508
4009.5908,64.071075,2.017145
4010.5132,64.15005,2.012806
4011.438,65.56847,2.0431104
4012.3608,65.98806,2.0558503
4013.284,63.582394,2.0190265
4014.2095,61.653946,1.9790533
4015.1328,57.816193,1.8817194
4016.0588,49.351795,1.7233486
4016.9827,37.646317,1.4458783
4017.909,21.078997,1.1152123
4018.8333,10.5173645,0.88924026
4019.7578,17.348053,1.0550792
4020.6848,34.908417,1.4346131
4021.6096,49.30439,1.7170556
4022.537,55.360268,1.8620752
4023.4624,60.613773,1.9306003
4024.3901,58.585957,1.9283215
4025.3162,57.200684,1.8755478
4026.2422,53.98533,1.8047677
4027.1704,43.415855,1.5986648
4028.097,28.833096,1.3004812
4029.026,17.395004,1.0489229
4029.9526,21.220654,1.1511933
4030.882,33.4237,1.388589
4031.8093,47.435577,1.6585777
4032.739,57.21099,1.8299724
4033.6667,58.520103,1.898375
4034.5947,63.604973,1.9565558
4035.5251,59.970703,1.9144889
4036.4534,62.262722,1.965126
4037.3843,65.00122,1.9865875
4038.313,62.621372,1.9855349
4039.2441,66.652145,2.0120575
4040.1736,66.12041,2.0170307
4041.103,64.22065,2.0021493
4042.0347,64.99191,2.0094733
4042.9646,65.64445,1.9957478
4043.897,63.157642,1.9676796
4044.8271,61.631054,1.9362007
4045.76,67.65317,2.047977
4046.6907,63.86392,2.014045
4047.6216,61.32661,2.0019596
4048.555,64.56407,2.0034204
4049.4863,67.52442,2.021949
4050.4202,64.38339,1.9501451
4051.352,60.79738,1.8890455
4052.2861,63.89137,1.9389352
4053.2185,65.04059,1.9328222
4054.151,64.442116,1.9561954
4055.0857,64.77136,1.9287685
4056.0186,63.37911,1.9184954
4056.9539,64.545876,1.9119102
4057.8872,63.00844,1.8938674
4058.823,62.187477,1.8734031
4059.7566,62.436726,1.8839747
4060.6907,62.67562,1.88477
4061.627,63.89348,1.8986483
4062.5613,64.499054,1.9046701
4063.4983,63.384407,1.891405
4064.433,63.055954,1.8932271
4065.37,63.04971,1.8975018
4066.3054,63.726418,1.9192122
4067.241,66.94083,1.9375612
4068.1787,64.70102,1.8948977
4069.1147,58.96026,1.8302153
4070.053,63.202343,1.857401
4070.9893,65.88395,1.9103184
4071.928,60.605766,1.8255867
4072.8647,64.223366,1.8747845
4073.8018,63.615913,1.8732771
4074.7412,64.71146,1.8843395
4075.6787,64.707535,1.888237
4076.6184,64.71932,1.8877764
4077.5562,64.46472,1.8716675
4078.4966,60.089954,1.8171335
4079.4348,61.910328,1.8367339
4080.3733,64.94753,1.8830848
4081.3142,61.83972,1.8513918
4082.2532,61.255,1.8260641
4083.1943,65.68053,1.8801776
4084.1338,61.673042,1.835222
4085.0757,61.4867,1.814375
4086.0154,63.67168,1.8639886
4086.9553,63.966286,1.8590394
4087.8977,62.40286,1.8431935
4088.8381,61.49969,1.8033447
4089.781,62.38762,1.8212335
4090.722,63.0014,1.832043
4091.6653,64.000946,1.8499993
4092.6064,65.04911,1.869844
4093.548,63.745655,1.8401186
4094.492,60.87913,1.8009908
4095.4338,61.14625,1.7883277
4096.3784,61.090977,1.7966542
4097.321,62.475334,1.800748
4098.2656,60.80173,1.7959545
4099.2085,55.854618,1.6817896
4100.1514,50.765438,1.61234
4101.0967,49.061394,1.5911211
4102.04,55.224895,1.6755142
4102.9863,60.60606,1.7741579
4103.93,62.132885,1.8079319
4104.8765,62.20825,1.8116144
4105.821,62.77322,1.8172786
4106.7676,62.908634,1.8241452
4107.7124,64.56659,1.8576574
4108.657,63.35068,1.8171042
4109.6045,63.117916,1.8407176
4110.5503,63.001312,1.8060173
4111.498,61.731583,1.8098483
4112.444,62.36263,1.8024735
4113.392,62.71665,1.8067327
4114.3384,63.789898,1.8321923
4115.285,62.798058,1.796454
4116.234,61.757957,1.8063475
4117.1807,62.488926,1.8034781
4118.1304,62.69097,1.8157861
4119.0776,65.062675,1.838082
4120.0273,66.65684,1.8646518
4120.975,64.15152,1.8257176
4121.9233,60.86234,1.7880081
4122.874,61.05607,1.786286
4123.8223,63.44887,1.8158667
4124.7734,64.080444,1.821866
4125.722,63.445435,1.8223407
4126.6733,62.84689,1.7984895
4127.623,63.072414,1.821723
4128.5723,63.621502,1.8144318
4129.5244,63.315384,1.8107283
4130.4746,63.26114,1.8065012
4131.427,61.24584,1.7769271
4132.3774,60.45736,1.7655966
4133.33,62.17809,1.7974819
4134.2812,64.03341,1.8166378
4135.2324,63.118874,1.8150835
4136.1855,62.87051,1.8061754
4137.137,63.900574,1.8315476
4138.0913,62.966644,1.7927648
4139.0435,62.29814,1.8069862
4139.9976,63.896442,1.8113198
4140.95,63.754063,1.8047469
4141.903,60.652855,1.7841146
4142.858,64.1024,1.8016248
4143.811,63.42773,1.8197697
4144.7666,61.79627,1.7863885
4145.72,65.31214,1.8415608
4146.676,66.40049,1.8593005
4147.63,60.86676,1.7714305
4148.584,62.032997,1.7857264
4149.5405,63.862316,1.818947
4150.495,65.969124,1.8505776
4151.4526,67.4443,1.851537
4152.407,62.623016,1.8272469
4153.3647,66.46254,1.8306808
4154.3203,64.56138,1.8605695
4155.2764,64.110634,1.7933465
4156.2344,63.378353,1.8116019
4157.1904,60.39506,1.7607403
4158.149,62.562138,1.7949828
4159.1055,60.816494,1.7654268
4160.065,62.86111,1.7917027
4161.022,64.74696,1.8174917
4161.979,63.22905,1.7974453
4162.939,61.157974,1.7759796
4163.8965,62.569603,1.7692556
4164.8564,59.36412,1.7538697
4165.815,62.917656,1.7705936
4166.7754,64.15056,1.8341202
4167.734,63.618793,1.7826818
4168.693,64.81455,1.8218668
4169.654,63.422016,1.8031864
4170.6133,64.07979,1.8075869
4171.575,64.83222,1.8157852
4172.5347,64.03113,1.8011125
4173.497,63.050556,1.7834406
4174.457,63.03213,1.7736816
4175.4175,63.002655,1.7762836
4176.38,64.44507,1.8031263
4177.341,63.597878,1.7637
4178.304,62.774445,1.7803406
4179.265,63.01377,1.7496622
4180.229,63.348827,1.7681597
4181.191,63.097794,1.7562647
4182.155,63.098778,1.7506292
4183.117,63.498104,1.755034
4184.0796,63.323383,1.7486589
4185.0444,62.3329,1.7334247
4186.007,61.79679,1.7346054
4186.972,62.96926,1.7525543
4187.9355,62.650658,1.7540758
4188.9014,62.590534,1.7321426
4189.8647,63.87771,1.7819448
4190.8286,65.6689,1.7934136
4191.795,65.602646,1.7976834
4192.7593,62.789505,1.7627785
4193.726,63.55946,1.7701722
4194.691,64.95467,1.7818016
4195.658,62.702835,1.7604392
4196.6235,62.811207,1.7473077
4197.589,67.44389,1.8162471
4198.557,66.11913,1.7997433
4199.523,62.27988,1.7355347
4200.491,65.58823,1.7857174
4201.4575,64.46123,1.7643809
4202.4263,62.190983,1.7428226
4203.393,63.55886,1.7393961
4204.36,60.639214,1.7213175
4205.3296,63.027775,1.7398057
4206.297,64.59623,1.7641449
4207.267,62.68485,1.7475218
4208.235,62.28535,1.7373188
4209.205,65.06654,1.7818836
4210.174,64.39034,1.7689081
4211.142,64.07827,1.7570407
4212.1133,62.347206,1.74163
4213.082,63.08293,1.7504246
4214.0537,64.74211,1.7726899
4215.023,65.00459,1.7844262
4215.995,65.82612,1.7908081
4216.965,64.12829,1.7758757
4217.935,63.452988,1.7609336
4218.9077,63.43188,1.7315869
4219.8784,62.394417,1.7340885
4220.8516,61.48906,1.7189112
4221.8223,63.451824,1.7436852
4222.796,61.902245,1.7231369
4223.7676,61.977234,1.7214942
4224.7393,63.584106,1.7475814
4225.7134,64.31897,1.7497913
4226.6855,63.07066,1.7308643
4227.66,61.611233,1.7151258
4228.633,62.402096,1.7228963
4229.608,63.077866,1.7213846
4230.5806,62.07466,1.7109922
4231.554,59.558838,1.6664107
4232.53,58.686043,1.6581072
4233.5034,62.729946,1.7174913
4234.48,63.76413,1.7368482
4235.454,62.426456,1.7158623
4236.4307,64.43777,1.7545005
4237.4053,65.18468,1.7444254
4238.38,61.831673,1.7187684
4239.3574,62.406307,1.7149774
4240.3325,62.481625,1.714515
4241.3105,61.10694,1.700033
4242.286,62.177578,1.702086
4243.264,62.473236,1.7105774
4244.2407,60.107994,1.6783166
4245.217,61.454304,1.6996425
4246.196,63.875774,1.7465343
4247.173,61.367188,1.7015696
4248.152,61.847965,1.7199126
4249.1294,62.94602,1.7043667
4250.1094,60.566883,1.6809857
4251.087,60.462505,1.6704586
4252.065,61.08173,1.6691748
4253.0454,59.792957,1.65
4254.024,59.50417,1.6461806
4255.005,59.370262,1.6395993
4255.9834,58.960815,1.6346786
4256.965,61.12843,1.6704682
4257.9443,59.99119,1.6499693
4258.9263,62.419273,1.7035533
4259.906,62.942627,1.6780231
4260.8857,61.44233,1.6880826
4261.8687,61.242855,1.6700994
4262.849,61.293407,1.6721269
4263.832,59.595993,1.6616628
4264.813,60.73685,1.6639285
4265.7964,62.94527,1.707478
4266.778,63.77381,1.7192256
4267.7593,62.483875,1.7042545
4268.743,60.773563,1.6776228
4269.7256,62.673733,1.6928931
4270.71,60.680077,1.6754601
4271.6924,59.02963,1.624101
4272.6772,59.784004,1.6590983
4273.6606,60.27928,1.6425116
4274.6436,58.40159,1.6363465
4275.6294,59.086483,1.636566
4276.613,59.17349,1.6433485
4277.599,60.042465,1.6554536
4278.583,61.39648,1.6781461
4279.57,61.882786,1.6852574
4280.554,61.800537,1.686608
4281.539,61.376823,1.6875945
4282.5264,59.743248,1.645165
4283.5117,59.943752,1.6735485
4284.499,60.790764,1.6570301
4285.485,59.88112,1.65499
4286.473,59.171944,1.6423053
4287.459,61.976856,1.678849
4288.4453,60.420185,1.6627042
4289.4346,60.390785,1.655066
4290.4214,60.198616,1.6330199
4291.4106,58.162357,1.6270993
4292.398,60.219055,1.6314687
4293.3877,57.24637,1.632477
4294.3755,62.740646,1.6721183
4295.3633,62.024517,1.6987771
4296.3535,59.019646,1.6273614
4297.3423,61.357727,1.6648508
4298.333,59.139862,1.637898
4299.322,59.98856,1.6422201
4300.3135,58.509888,1.6229016
4301.3027,58.5093,1.6156644
4302.292,61.215202,1.6605177
4303.284,61.925888,1.6470866
4304.2744,57.175953,1.6130732
4305.2666,59.394417,1.6127771
4306.2573,58.740734,1.6061395
4307.25,51.576035,1.4926318
4308.241,44.761917,1.3824239
4309.232,46.450356,1.4122684
4310.226,54.937954,1.5441955
4311.2173,57.52208,1.6017606
4312.2114,60.689747,1.6511835
4313.2036,59.431232,1.6291801
4314.198,58.57514,1.6363095
