telescope,filter,wavelength,mag,mag_err,mag_G,mag_G_err,mag_A,mag_A_err,mag_B,mag_B_err,mag_C,mag_C_err,mag_D,mag_D_err,source,lower_limit
PanSTARRS,g,,17.57,0.02,,,,,,,,,,,Panstarrs+DR2-psf,0
PanSTARRS,r,,17.48,0.0099,,,,,,,,,,,Panstarrs+DR2-psf,0
PanSTARRS,i,,17.28,0.005,,,,,,,,,,,Panstarrs+DR2-psf,0
PanSTARRS,z,,17.26,0.002,,,,,,,,,,,Panstarrs+DR2-psf,0
PanSTARRS,y,,17.26,0.02,,,,,,,,,,,Panstarrs+DR2-psf,0
SDSS,u,,17.56,0.01,,,,,,,,,,,SDSS+DR14,0
SDSS,g,,17.29,0.00,,,,,,,,,,,SDSS+DR14,0
SDSS,r,,17.16,0.0,,,,,,,,,,,SDSS+DR14,0
SDSS,i,,16.94,0.01,,,,,,,,,,,SDSS+DR14,0
SDSS,z,,16.93,0.01,,,,,,,,,,,SDSS+DR14,0
CASTLES,F160W,,,,16.80,0.062,15.78,0.03,17.23,0.02,,,,,CASTLES,0
CASTLES,F555W,,,,19.21,0.2,17.55,0.05,18.95,0.06,,,,,CASTLES,0
CASTLES,F814W,,,,18.26,0.05,16.85,0.01,18.29,0.01,,,,,CASTLES,0PanSTARRS,g,,17.57,0.02,,,,,,,,,,,Panstarrs+DR2-psf,0
PanSTARRS,g,,17.4948,0.02416,,,,,,,,,,,Panstarrs+DR2-ap,0
PanSTARRS,r,,17.392799377441406,0.00583200016990304,,,,,,,,,,,Panstarrs+DR2-ap,0
PanSTARRS,i,,17.17639923095703,0.00573199987411499,,,,,,,,,,,Panstarrs+DR2-ap,0
PanSTARRS,z,,17.180500030517578	,0.007455000188201666,,,,,,,,,,,Panstarrs+DR2-ap,0
PanSTARRS,y,,17.153499603271484,0.01729699969291687,,,,,,,,,,,Panstarrs+DR2-ap,0
