telescope,filter,wavelength,mag,mag_err,mag_G,mag_G_err,mag_A,mag_A_err,mag_B,mag_B_err,mag_C,mag_C_err,mag_D,mag_D_err,source,lower_limit
SDSS,u,,19.66,0.03,,,,,,,,,,,SDSS+DR14,
SDSS,g,,19.24,0.01,,,,,,,,,,,SDSS+DR14,
SDSS,r,,18.74,0.01,,,,,,,,,,,SDSS+DR14,
SDSS,i,,18.41,0.01,,,,,,,,,,,SDSS+DR14,
SDSS,z,,18.27,0.03,,,,,,,,,,,SDSS+DR14,
PanSTARRS,g,,18.7628,0.01,,,,,,,,,,,panSTARRS+DR2-psf,
PanSTARRS,r,,18.497,0.0285,,,,,,,,,,,panSTARRS+DR2-psf,
PanSTARRS,i,,18.367,0.04846,,,,,,,,,,,panSTARRS+DR2-psf,
PanSTARRS,z,,18.302,0.0139,,,,,,,,,,,panSTARRS+DR2-psf,
PanSTARRS,y,,18.0412,0.02934,,,,,,,,,,,panSTARRS+DR2-psf,
Subaru,K',,,,16.05,0.10,15.81,0.00,16.95,0.01,,,,,Rusu+2016,
PanSTARRS,g,,18.44890022277832,0.013202999718487263,,,,,,,,,,,panSTARRS+DR2-ap,
PanSTARRS,r,,18.208599090576172,0.02120400033891201	,,,,,,,,,,,panSTARRS+DR2-ap,
PanSTARRS,i,,17.966899871826172,0.024501999840140343,,,,,,,,,,,panSTARRS+DR2-ap,
PanSTARRS,z,,17.808700561523438,0.0652960017323494,,,,,,,,,,,panSTARRS+DR2-ap,
PanSTARRS,y,,17.5757999420166,0.0683239996433258,,,,,,,,,,,panSTARRS+DR2-ap,
