telescope,filter,mag,mag_err,mag_G,mag_G_err,mag_A,mag_A_err,mag_B,mag_B_err,mag_C,mag_C_err,mag_D,mag_D_err,source,lower_limit
SDSS,u,,,,,,,,,,,,,SDSS+DR14,
SDSS,g,,,,,,,,,,,,,SDSS+DR14,
SDSS,r,,,,,,,,,,,,,SDSS+DR14,
SDSS,i,,,,,,,,,,,,,SDSS+DR14,
SDSS,z,,,,,,,,,,,,,SDSS+DR14,
PanSTARRS,g,20.68779945,0.056297,,,,,,,,,,,PanSTARRS+DR2-psf,
PanSTARRS,r,20.26670074,0.036090001,,,,,,,,,,,PanSTARRS+DR2-psf,
PanSTARRS,i,19.4741993,0.040777002,,,,,,,,,,,PanSTARRS+DR2-psf,
PanSTARRS,z,18.95299911,0.048710998,,,,,,,,,,,PanSTARRS+DR2-psf,
PanSTARRS,y,18.42280006,0.031351,,,,,,,,,,,PanSTARRS+DR2-psf,
PanSTARRS,g,20.12269974,0.038219001,,,,,,,,,,,PanSTARRS+DR2-AP,
PanSTARRS,r,19.5326004,0.023551,,,,,,,,,,,PanSTARRS+DR2-AP,
PanSTARRS,i,18.78100014,0.019985,,,,,,,,,,,PanSTARRS+DR2-AP,
PanSTARRS,z,18.30890083,0.024560999,,,,,,,,,,,PanSTARRS+DR2-AP,
PanSTARRS,y,17.72100067,0.039306,,,,,,,,,,,PanSTARRS+DR2-AP,
