name,redshift,magnification,magn_err,stacey_sfr,stacey_sfr_me,stacey_sfr_pe,mu_m_gas,no_models,tau,tau_pe,tau_me,log age,log age_pe,log age_me,Nh,Nh_pe,Nh_me,irlum,irlum_pe,irlum_me,SB,SB_pe,SB_me,BB,BB_pe,BB_me,GA,GA_pe,GA_me,TO,TO_pe,TO_me,EBVbbb,EBVbbb_pe,EBVbbb_me,EBVgal,EBVgal_pe,EBVgal_me,logMstar,logMstar_pe,logMstar_me,mu_logMstar,mu_logMstar_pe,mu_logMstar_me,SFR_opt,SFR_opt_pe,SFR_opt_me,mu_SFR_opt,mu_SFR_opt_pe,mu_SFR_opt_me,LIR(8-1000),LIR(8-1000)_pe,LIR(8-1000)_me,Lbb(0.1-1),Lbb(0.1-1)_pe,Lbb(0.1-1)_me,Lbbdered(0.1-1),Lbbdered(0.1-1)_pe,Lbbdered(0.1-1)_me,Lga(01-1),Lga(01-1)_pe,Lga(01-1)_me,Ltor(1-30),Ltor(1-30)_pe,Ltor(1-30)_me,Lsb(1-30),Lsb(1-30)_pe,Lsb(1-30)_me,SFR_IR,SFR_IR_pe,SFR_IR_me,mu_SFR_IR,mu_SFR_IR_pe,mu_SFR_IR_me,-ln_like,-ln_like_pe,-ln_like_me,logSFR_IR,logSFR_IR_pe,logSFR_IR_me,logmu_SFR_IR,logmu_SFR_IR_pe,logmu_SFR_IR_me,logSFR_opt,logSFR_opt_pe,logSFR_opt_me,SFR,SFR_pe,SFR_me,logSFR,logSFR_pe,logSFR_me,sSFR,Mgas,logMgas,Mgas_err,f_gas,f_gas_pe,f_gas_me,t_dep
J0806+2006,1.54,10.0,5,,,,2780000000.0,2,1.4478,1.0388000000000002,0.8359,7.5291,0.0788000000000002,0.08779999999999966,21.3372,0.21659999999999968,0.23329999999999984,13.3039,1.1483999999999988,1.4047999999999998,1.6566,1.1774999999999998,0.8398000000000001,2.2288,0.052000000000000046,0.04220000000000024,4.8758,0.015100000000000335,0.016199999999999548,2.4302,0.057599999999999874,0.055600000000000094,0.1533,0.02100000000000002,0.021799999999999986,0.2984,0.019799999999999984,0.02100000000000002,10.0941,0.21790861445317733,0.21774327602225393,11.0941,0.018200000000000216,0.01609999999999978,446.8281,223.96037456450054,224.56096297667696,4468.281,156.33669999999984,226.66899999999987,46.221,0.23110000000000497,0.2008999999999972,45.518,0.04310000000000258,0.033900000000002706,45.9482,0.05239999999999867,0.03370000000000317,46.0226,0.010600000000003718,0.017499999999998295,46.1133,0.05389999999999873,0.0519999999999996,45.5649,0.259999999999998,0.24050000000000438,64.54875,55.642834856170175,40.16424458145609,645.4875,453.26480000000015,239.06719999999996,-13.0845,1.3871000000000002,2.314399999999999,1.8098878364806927,0.37437403722750057,0.27023156593332887,2.809887836480693,0.3049639249109876,0.16084829801361153,2.6501404770917425,0.217678241002184,0.218261982788574,511.37685,230.76909335069635,228.1245112560496,2.7087410636495997,0.1959841237162453,0.1937381725930272,4.117570688331187e-08,1000800000.0,9.000347296685364,500400000.0,0.07457424713292506,0.048885136554382244,0.04886652933226518,1957069.4293259461
J0924+0219,1.523,10.0,5,3.0,0.1,0.2,29200000000.0,2,2.375,0.46609999999999996,0.5159,9.1741,0.07430000000000092,0.07439999999999891,21.2798,0.20289999999999964,0.1855000000000011,12.3083,0.5701,0.9387999999999987,2.8875,0.8663999999999996,0.5392000000000001,2.6623,0.016499999999999737,0.01650000000000018,5.6481,0.03109999999999946,0.03220000000000045,2.601,0.04170000000000007,0.0495000000000001,0.0491,0.018099999999999998,0.016299999999999995,0.098,0.0199,0.019600000000000006,10.8562,0.22016042844458564,0.2218834925200686,11.8562,0.036300000000000665,0.04559999999999853,56.844500000000004,28.85108904340701,29.276640601793783,568.445,49.559099999999944,70.21210000000008,46.4868,0.07869999999999777,0.06880000000000308,46.209,0.014499999999998181,0.01850000000000307,46.3764,0.014300000000005753,0.01839999999999975,46.0824,0.028199999999998226,0.031999999999996476,46.2569,0.044799999999995066,0.0438000000000045,45.8285,0.07160000000000366,0.09559999999999746,119.03690999999999,64.04625085112026,62.02706750478474,1190.3691,236.53240000000005,174.61689999999987,-17.3813,1.4826999999999995,2.1111000000000004,2.0756816447864255,0.2336664596824042,0.2262996674390197,3.0756816447864255,0.08629652442367056,0.06370726198878304,1.7546884508143885,0.2204235901177956,0.22367482275371825,175.88141,70.2446267487786,68.58920314575555,2.245219938598595,0.17345126912701067,0.1693636208871807,2.4491756817026924e-09,10512000000.0,10.021685352215705,5256000000.0,0.12768982468075232,0.0793095203048779,0.07962475580378298,59767544.50626704
B1152+200,1.019,10.0,5,,,,,4,1.4268,1.0659,0.7918000000000001,6.2062,0.2956000000000003,0.7655000000000003,21.2816,0.15830000000000055,0.18940000000000268,10.6887,2.2363999999999997,2.609400000000001,2.2713,2.9151999999999996,1.1752,3.2026,0.006200000000000205,0.007299999999999862,3.8896,0.039899999999999824,0.03440000000000021,3.4147,0.008000000000000007,0.007899999999999796,0.0119,0.0092,0.008300000000000002,0.0121,0.008799999999999999,0.0083,8.7609,0.22032751587784827,0.22027692628349296,9.7609,0.03730000000000011,0.036999999999999034,332.63919999999996,1442.502788976338,220.54656786126958,3326.392,14328.824400000001,1448.3983999999998,44.8945,0.7911000000000001,1.8222000000000023,46.5767,0.007799999999996032,0.006800000000005468,46.5767,0.007799999999996032,0.006800000000005468,46.106,0.027599999999999625,0.02499999999999858,46.7426,0.007999999999995566,0.008800000000000807,44.2483,0.7815999999999974,1.8556000000000026,3.0485800000000003,15.872112700160617,3.3673263294489297,30.4858,157.98749999999998,30.0257,-114.5569,1.6069999999999993,1.6196999999999946,0.4840975961441232,2.261108765991471,0.4797024331482859,1.4840975961441232,2.2506576655259165,0.4277399912510896,2.5219734275068646,1.8833348606612648,0.2879460912148972,335.68778,1442.5901081617328,220.57227269535622,2.5259355319684054,1.866344147597079,0.28536433733885846,5.82150844715566e-07,,,,,,,
J1330+1810,1.393,10.0,5,3.3,0.1,0.1,28400000000.0,5,1.6568,0.8483,1.0183,5.5337,0.34690000000000065,0.3636999999999997,21.2606,0.17650000000000077,0.1767000000000003,12.7642,0.1625999999999994,0.28049999999999997,2.7145,0.2778999999999998,0.1452,2.8135,0.06530000000000014,0.07180000000000009,4.7326,0.007299999999999862,0.008899999999999686,2.9002,0.015000000000000124,0.015499999999999847,0.4873,0.054700000000000026,0.055400000000000005,0.2501,0.017400000000000027,0.016999999999999987,9.8662,0.21723011819934976,0.21726991106203236,10.8662,0.006000000000000227,0.007299999999998974,28924.98709,24930.339668842673,23046.440601855043,289249.8709,203066.02780000004,179436.53609999997,46.7099,0.038800000000001944,0.018799999999998818,45.491,0.026099999999999568,0.029800000000001603,46.4544,0.084699999999998,0.07309999999999661,46.1697,0.006300000000003081,0.005699999999997374,46.4926,0.014499999999998181,0.014800000000001035,46.052,0.033799999999999386,0.020299999999998875,198.96199,101.20069528432117,99.83954508349096,1989.6199,185.77200000000016,84.53779999999983,-112.7083,1.4763999999999982,2.162300000000002,2.2987701160581047,0.22090100489421685,0.21792988452463238,3.2987701160581047,0.04055033551490461,0.018452921611932335,4.461273173786518,0.3743168118438083,0.34603099215753885,29123.94908,24930.54507195133,23046.656858416474,4.464250263064412,0.3717627072430237,0.343670285661961,3.963239001410287e-06,10224000000.0,10.009620840814325,5112000000.0,0.5818174526824285,0.17207608940568117,0.172091856847859,351051.29362490977
J1455+1447,1.424,12.7,0,3.1,0.2,0.3,8100000000.0,5,1.3919,1.0652000000000001,0.9401999999999999,5.6448,0.5530999999999997,0.4275000000000002,21.6185,0.21499999999999986,0.38480000000000203,12.8164,1.1585999999999999,1.2159999999999993,2.271,1.1118000000000001,0.9575,3.4305,0.009500000000000064,0.011200000000000099,3.8584,0.3911000000000002,0.4333,2.7506,0.08260000000000023,0.05669999999999975,0.85,0.016800000000000037,0.017299999999999982,0.1717,0.0829,0.1122,8.892696279044042,0.41320000000000157,0.3788,9.9965,0.41320000000000157,0.3788,1982.5110000000002,5958.891897637795,1554.2455275590553,25177.8897,75677.9271,19738.9182,46.3398,0.25080000000000524,0.10489999999999355,45.7548,0.00829999999999842,0.011400000000001853,47.0917,0.00829999999999842,0.011400000000001853,45.677,0.02750000000000341,0.02779999999999916,46.3585,0.06819999999999737,0.05129999999999768,45.6793,0.26890000000000214,0.11899999999999977,66.8083779527559,52.21199212598426,14.336425196850392,848.4664,663.0923,182.07259999999997,-72.2235,3.4847000000000037,4.149100000000004,1.8248309276028387,0.33940922926651623,0.0931953527986235,2.9286346485587957,0.3394092292665162,0.09319535279862347,3.2972156056875215,1.3053717580392195,0.34047743298357797,2049.319377952756,5959.120634779525,1554.311646042952,3.311609646675345,1.262864752328621,0.32939178651048506,2.623695120673732e-06,2296062992.125984,9.36098379868998,0.0,0.7461668099731137,0.18020230288468658,0.16519998144414091,1120402.7136169092
J1524+4409,1.21,7.4,0,2.7,0.2,0.3,17400000000.0,5,1.8141,0.8095999999999999,1.0047000000000001,7.7327,0.4319999999999995,0.33610000000000007,22.0198,2.1439999999999984,0.7363999999999997,12.8588,0.5984999999999996,1.4126000000000012,2.2834,1.2258,0.45569999999999977,1.0038,0.6879,0.6722,4.8912,0.16059999999999963,0.11800000000000033,1.7031,0.21509999999999985,0.37380000000000013,0.411,0.4010000000000001,0.30019999999999997,0.248,0.030700000000000005,0.04269999999999999,10.029568280269023,0.3163999999999998,0.1056999999999988,10.8988,0.3163999999999998,0.1056999999999988,244.67062162162162,68.3242162162162,108.1782162162162,1810.5626,505.5991999999999,800.5187999999999,46.1817,0.22420000000000329,0.22630000000000194,43.7573,0.7620999999999967,1.0908000000000015,44.4897,0.6262000000000043,0.6910000000000025,45.8395,0.014699999999997715,0.019899999999999807,45.102,0.23029999999999973,0.40869999999999607,45.53,0.19729999999999848,0.20110000000000383,79.67905405405405,53.81544594594594,32.35458108108108,589.625,398.23429999999996,239.4239,-13.7804,1.8153000000000006,2.166599999999999,1.901344169522782,0.29332365316023595,0.17635018631461688,2.770575889253758,0.29332365316023595,0.17635018631461688,2.388581825364927,0.12127663667342876,0.1920181591621371,324.34967567567566,86.97298858795925,112.91299916597146,2.5110134680059253,0.11645422163502987,0.15118711733185616,3.0300178554045704e-08,8464864864.864864,9.927620029318911,0.0,0.4415818840370133,0.17964821677082554,0.060015222859279564,26097960.00945926
B1600+434,1.589,10.0,5,2.9,0.2,0.2,,4,1.7996,0.7383,1.1221,8.8098,0.5086000000000013,0.7216999999999985,22.3789,1.8309999999999995,1.0192000000000014,9.5253,0.6777999999999995,0.3826999999999998,5.1396,0.33090000000000064,0.6459000000000001,2.5911,0.16579999999999995,0.20589999999999975,5.2396,0.29469999999999974,0.42960000000000065,1.2426,0.5073000000000001,0.7885,0.4808,0.08979999999999999,0.1063,0.4088,0.06490000000000001,0.12259999999999999,10.4547,0.39645657297225284,0.4593647398885822,11.4547,0.33169999999999966,0.4048000000000016,66.23549,83.59243975407061,58.91104421664095,662.3549,767.5227,487.20900000000006,45.9752,0.07439999999999714,0.07000000000000028,45.379,0.09179999999999922,0.10089999999999577,46.3439,0.14320000000000022,0.19109999999999872,45.3022,0.0893999999999977,0.10949999999999704,45.0733,0.41379999999999484,0.6214000000000013,45.3715,0.07950000000000301,0.08089999999999975,36.64495,19.559448960929984,19.115940657852153,366.4495,68.4536,54.503300000000024,-15.5311,1.7386999999999997,2.2514999999999983,1.5640141334588107,0.23180713175485798,0.22655093114044927,2.564014133458811,0.0811271969163894,0.06459411852251815,1.8210907535051586,0.5481009548509853,0.3862693765297976,102.88044,85.85026515796646,61.9348877284003,2.0123328129787024,0.3624041307369587,0.2614489204919971,3.6110442719755515e-09,,,,,,,
B1608+656,1.39,10.8,0,2.4,0.1,0.2,,3,1.8756,0.6954000000000002,1.1696,7.8175,0.5086000000000004,0.4227999999999996,24.1423,0.5954000000000015,0.7419999999999973,9.3324,0.2812999999999999,0.4594000000000005,5.3439,0.40030000000000054,0.2646999999999995,0.9073,0.9024000000000001,0.5429999999999999,5.2829,0.26860000000000017,0.16329999999999956,3.0436,0.35250000000000004,0.24840000000000018,0.5652,0.28389999999999993,0.3629,0.4446,0.03639999999999999,0.04749999999999999,10.35747624451305,0.30879999999999974,0.14290000000000092,11.3909,0.30879999999999974,0.14290000000000092,499.3999629629629,364.1113148148148,216.60706481481475,5393.5196,3932.4022000000004,2339.3562999999995,45.8537,0.0648999999999944,0.07580000000000098,43.7722,0.8021000000000029,0.833599999999997,44.5456,0.977800000000002,0.5816000000000017,45.8256,0.029299999999999216,0.05349999999999966,46.5118,0.14730000000000132,0.09159999999999968,45.2222,0.08189999999999742,0.08970000000000056,25.649407407407406,4.139629629629632,4.105222222222221,277.0136,44.70800000000003,44.3364,-17.2079,1.412799999999999,2.1027000000000022,1.4090773358156354,0.07009200160905672,0.06950941710968461,2.442501091302585,0.07009200160905672,0.06950941710968463,2.6984485058067156,0.31664306477799914,0.18836856220854523,525.0493703703703,364.13484605245304,216.64596321460317,2.720200142018011,0.30119406523184117,0.17919866523094233,2.3052811414418748e-08,,,,,,,
J1633+3134,1.518,10.0,5,3.0,0.1,0.1,11600000000.0,1,1.6233,0.9075000000000002,0.8333999999999999,7.9117,0.08370000000000033,0.08570000000000011,21.2658,0.1750000000000007,0.17980000000000018,14.2958,0.4958000000000009,0.8344000000000005,1.0637,0.6693,0.10960000000000014,2.8613,0.0049000000000001265,0.0040000000000000036,5.1363,0.014100000000000001,0.00790000000000024,3.2087,0.010299999999999976,0.012699999999999712,0.0126,0.008400000000000001,0.0085,0.1538,0.020900000000000002,0.019699999999999995,10.3438,0.21756648237470652,0.21729089776818417,11.3438,0.013500000000000512,0.007899999999999352,321.18307,160.67007046178927,160.70240481155292,3211.8307,50.229899999999816,59.6840000000002,46.5954,0.10350000000000392,0.13919999999999533,46.5749,0.003900000000001569,0.004699999999999704,46.5749,0.003900000000001569,0.004699999999999704,46.4263,0.003500000000002501,0.006599999999998829,46.8736,0.008699999999997488,0.013100000000001444,45.9581,0.12529999999999575,0.17090000000000316,152.83787999999998,86.78987943757325,87.15730337817766,1528.3788,411.4157,419.11109999999985,-129.2629,1.3271000000000015,1.9913999999999987,2.184231004999837,0.24661664846951922,0.24766069716951195,3.184231004999837,0.11690529093858386,0.11909196727565305,2.5067526449523525,0.21725343433750022,0.21729715591248325,474.02094999999997,182.61258093292705,182.81591408947943,2.675797536333016,0.16730829349479426,0.16749458582613252,2.1478182899462127e-08,4176000000.0,9.620760489994206,2088000000.0,0.15911067839604484,0.09469834916503929,0.09463827678014204,8809737.206762698
J1650+4251,1.543,10.0,5,3.0,0.1,0.1,17200000000.0,5,2.0956,0.5672999999999999,0.9534,7.7211,0.06950000000000056,0.07310000000000016,21.5334,0.24109999999999943,0.35379999999999967,10.3922,0.4117999999999995,0.5426000000000002,4.7746,0.5075999999999992,0.41440000000000055,2.7537,0.006400000000000183,0.004899999999999682,5.1552,0.0036000000000004917,0.006699999999999484,2.617,0.06340000000000012,0.046399999999999775,0.0124,0.008600000000000002,0.008299999999999998,0.1995,0.0174,0.01670000000000002,10.375,0.21715838517750924,0.21726328325997346,11.375,0.002200000000000202,0.00709999999999944,549.27513,274.69622289887667,274.78047755962507,5492.7513,56.76510000000053,88.61079999999947,46.4274,0.042200000000001125,0.034099999999995134,46.4795,0.0073999999999969646,0.003900000000001569,46.4795,0.0073999999999969646,0.003900000000001569,46.4535,0.0031000000000034333,0.007899999999999352,46.279,0.05399999999999494,0.04470000000000596,45.8466,0.03839999999999577,0.03370000000000317,103.80578,52.9751915995563,52.49194199520723,1038.0578,106.04759999999987,78.4181000000001,-202.2877,1.3614000000000033,2.075700000000012,2.016221536096431,0.2216334522938395,0.21961167049565128,3.016221536096431,0.04436736326154789,0.03280794972239256,2.7397899355436928,0.21719361989800598,0.21726023739484707,653.08091,279.75772697089,279.74937859148827,2.8149669892226625,0.18603703650326275,0.18603148488622495,2.754019362029566e-08,6192000000.0,9.791830947674836,3096000000.0,0.20705057321535028,0.1160962182309249,0.11612426312076161,9481214.203612229
