telescope,filter,wavelength,mag,mag_err,mag_G,mag_G_err,mag_A,mag_A_err,mag_B,mag_B_err,mag_C,mag_C_err,mag_D,mag_D_err,source,lower_limit
PanSTARRS,g,,19.983,0.02,,,,,,,,,,,Panstarrs+DR2-psf,0
PanSTARRS,r,,19.26,0.03,,,,,,,,,,,Panstarrs+DR2-psf,0
PanSTARRS,i,,18.92,0.02,,,,,,,,,,,Panstarrs+DR2-psf,0
PanSTARRS,z,,18.70,0.03,,,,,,,,,,,Panstarrs+DR2-psf,0
PanSTARRS,y,,18.561,0.04,,,,,,,,,,,Panstarrs+DR2-psf,0
SDSS,u,,19.53,0.04,,,,,,,,,,,SDSS+DR14,0
SDSS,g,,19.27,0.01,,,,,,,,,,,SDSS+DR14,0
SDSS,r,,18.63,0.01,,,,,,,,,,,SDSS+DR14,0
SDSS,i,,18.25,0.01,,,,,,,,,,,SDSS+DR14,0
SDSS,z,,17.98,0.03,,,,,,,,,,,SDSS+DR14,0
PanSTARRS,g,,19.5585994720459,0.029323000460863113,,,,,,,,,,,Panstarrs+DR2-ap,0
PanSTARRS,r,,18.91990089416504,0.027320999652147293	,,,,,,,,,,,Panstarrs+DR2-ap,0
PanSTARRS,i,,18.46780014038086,0.00939599983394146,,,,,,,,,,,Panstarrs+DR2-ap,0
PanSTARRS,z,,18.218700408935547,0.01348899956792593,,,,,,,,,,,Panstarrs+DR2-ap,0
PanSTARRS,y,,18.103700637817383,0.02923399955034256,,,,,,,,,,,Panstarrs+DR2-ap,0
