,wavelength,transmission
246,7910.0,0.13425
247,7920.0,0.1318
248,7930.0,0.1294
249,7940.0,0.1267
250,7950.0,0.1245
251,7960.0,0.12244999999999999
252,7970.0,0.11964999999999999
253,7980.0,0.11715
254,7990.0,0.11495
255,8000.0,0.11320000000000001
256,8010.0,0.11115
257,8020.0,0.1092
258,8030.0,0.1067
259,8040.0,0.1042
260,8050.0,0.10275000000000001
261,8060.0,0.09974999999999999
262,8070.0,0.09824999999999999
263,8080.0,0.09645
264,8090.0,0.09505000000000001
265,8100.0,0.09205
266,8110.0,0.09025
267,8120.0,0.0885
268,8130.0,0.0872
269,8140.0,0.08525
270,8150.0,0.08380000000000001
271,8160.0,0.0814
272,8170.0,0.0802
273,8180.0,0.0786
274,8190.0,0.0765
275,8200.0,0.07535
276,8210.0,0.07365000000000001
277,8220.0,0.0719
278,8230.0,0.07095
279,8240.0,0.0695
280,8250.0,0.06745
281,8260.0,0.0659
282,8270.0,0.06445000000000001
283,8280.0,0.06225
284,8290.0,0.06155
285,8300.0,0.06075
286,8310.0,0.0592
287,8320.0,0.057800000000000004
288,8330.0,0.05625
289,8340.0,0.05525
290,8350.0,0.0537
291,8360.0,0.0528
292,8370.0,0.05165
293,8380.0,0.0509
294,8390.0,0.049749999999999996
295,8400.0,0.0483
296,8410.0,0.046950000000000006
297,8420.0,0.046
298,8430.0,0.0449
299,8440.0,0.044050000000000006
300,8450.0,0.042800000000000005
301,8460.0,0.042199999999999994
302,8470.0,0.0404
303,8480.0,0.039900000000000005
304,8490.0,0.0395
305,8500.0,0.038849999999999996
306,8510.0,0.037599999999999995
307,8520.0,0.03665
308,8530.0,0.0356
309,8540.0,0.03515
310,8550.0,0.03395
311,8560.0,0.03295
312,8570.0,0.032549999999999996
313,8580.0,0.032
314,8590.0,0.03115
315,8600.0,0.03015
316,8610.0,0.0316
317,8620.0,0.03165
318,8630.0,0.0274
319,8640.0,0.029449999999999997
320,8650.0,0.028399999999999998
321,8660.0,0.02765
322,8670.0,0.0274
323,8680.0,0.025750000000000002
324,8690.0,0.028300000000000002
325,8700.0,0.025099999999999997
326,8710.0,0.0254
327,8720.0,0.0235
328,8730.0,0.0235
329,8740.0,0.023700000000000002
330,8750.0,0.0232
331,8760.0,0.02255
332,8770.0,0.0209
333,8780.0,0.0206
334,8790.0,0.02085
335,8800.0,0.0187
336,8810.0,0.0191
337,8820.0,0.0192
338,8830.0,0.019299999999999998
339,8840.0,0.01805
340,8850.0,0.01825
341,8860.0,0.0173
342,8870.0,0.01725
343,8880.0,0.0155
344,8890.0,0.01605
345,8900.0,0.0151
346,8910.0,0.014950000000000001
347,8920.0,0.0146
348,8930.0,0.0151
349,8940.0,0.013600000000000001
350,8950.0,0.0141
351,8960.0,0.0139
352,8970.0,0.01325
353,8980.0,0.01605
354,8990.0,0.01365
355,9000.0,0.0132
356,9010.0,0.0129
357,9020.0,0.0129
358,9030.0,0.0126
359,9040.0,0.01155
360,9050.0,0.01125
361,9060.0,0.0106
362,9070.0,0.01035
363,9080.0,0.01045
364,9090.0,0.0105
365,9100.0,0.00945
366,9110.0,0.0092
367,9120.0,0.00855
368,9130.0,0.0083
369,9140.0,0.0089
370,9150.0,0.00835
371,9160.0,0.00865
372,9170.0,0.008199999999999999
373,9180.0,0.00885
374,9190.0,0.0074
375,9200.0,0.00825
376,9210.0,0.007850000000000001
377,9220.0,0.0045000000000000005
378,9230.0,0.0078000000000000005
379,9240.0,0.0075
380,9250.0,0.00755
381,9260.0,0.006
382,9270.0,0.00565
383,9280.0,0.006500000000000001
384,9290.0,0.00745
385,9300.0,0.0063
386,9310.0,0.0066500000000000005
387,9320.0,0.0073
388,9330.0,0.00435
389,9340.0,0.005
390,9350.0,0.0053
391,9360.0,0.00485
392,9370.0,0.00645
393,9380.0,0.0046
394,9390.0,0.00625
395,9400.0,0.00485
396,9410.0,0.005600000000000001
397,9420.0,0.0051
398,9430.0,0.00605
399,9440.0,0.004050000000000001
400,9450.0,0.0085
401,9460.0,0.0042
402,9470.0,0.0053
403,9480.0,0.0037
404,9490.0,0.003
405,9500.0,0.0034999999999999996
406,9510.0,0.005
407,9520.0,0.00385
408,9530.0,0.0043
409,9540.0,0.0023
410,9550.0,0.0028000000000000004
411,9560.0,0.0035499999999999998
412,9570.0,0.0037
413,9580.0,0.0017000000000000001
414,9590.0,0.0031
415,9600.0,0.0028499999999999997
416,9610.0,0.0032
417,9620.0,0.00385
418,9630.0,0.0018
419,9640.0,0.0031
420,9650.0,0.0040999999999999995
421,9660.0,0.0019500000000000001
422,9670.0,0.0031
423,9680.0,0.00295
424,9690.0,0.00315
425,9700.0,0.00365
426,9710.0,0.00365
427,9720.0,0.00255
428,9730.0,0.00255
429,9740.0,0.00335
430,9750.0,0.0033
431,9760.0,0.0031
432,9770.0,0.0028499999999999997
433,9780.0,0.0020499999999999997
434,9790.0,0.0018
435,9800.0,0.00065
436,9810.0,0.0019
437,9820.0,0.0028499999999999997
438,9830.0,0.0012
439,9840.0,0.0028499999999999997
440,9850.0,0.0008500000000000001
441,9860.0,0.0022
442,9870.0,0.00165
443,9880.0,0.00245
444,9890.0,0.00245
445,9900.0,0.0016
446,9910.0,0.00125
447,9920.0,0.0028000000000000004
448,9930.0,0.0022
449,9940.0,0.00295
450,9950.0,0.0015
451,9960.0,0.0029
452,9970.0,0.0025
453,9980.0,0.00095
454,9990.0,0.0012
455,10000.0,0.00055
456,10010.0,0.0020499999999999997
457,10020.0,0.0011
458,10030.0,0.0008
459,10040.0,0.0011
460,10050.0,0.0021
461,10060.0,0.00135
462,10070.0,0.0019
463,10080.0,0.00105
464,10090.0,0.0017499999999999998
465,10100.0,0.00165
466,10110.0,0.00155
467,10120.0,0.0018
468,10130.0,0.0017499999999999998
469,10140.0,0.0013
470,10150.0,0.0012
471,10160.0,0.0024
472,10170.0,0.0018
473,10180.0,0.00105
474,10190.0,0.00215
475,10200.0,0.0019
476,10210.0,0.0007000000000000001
477,10220.0,0.002
478,10230.0,0.00265
