nu_obs,nu_rest,nuLnu,nuLnu_err,upp
599584915999.9999,1434806703987.9995,2.692938319077533e+45,8.228422641625795e+44,False
856549879999.9998,2049723862839.9993,9.724499485557757e+45,7.480384219659814e+44,False
1199169832000.0,2869613407975.9995,1.8850568233542736e+46,1.0472537907523742e+45,False
13626929909090.895,32609243272454.508,1.4865346002996243e+46,1.497776962845112e+45,False
26068909391304.332,62382900173391.26,1.0683966725650149e+46,5.203746461513255e+44,False
65314261002178.53,156297026578213.22,8.228488814859588e+45,2.3884443738549557e+44,False
89490285970149.14,214150254326566.88,5.5807434049121756e+45,2.158973921279676e+44,False
141411536792453.0,338397807544340.0,4.8246713975244624e+45,4.708364370659534e+44,False
180597866265060.25,432170693972289.1,5.2205935480193656e+45,4.708009955114981e+44,False
243733705691056.78,583254757718698.9,4.3211522222202194e+45,3.5747447436109346e+44,False
335638667711598.6,803183331833855.5,5.607935200390084e+45,2.6514480402194782e+44,False
400792056149731.94,959095390366308.5,9.029783528005467e+45,1.2834620885776544e+44,False
486202494323709.6,1163482568916637.0,1.1237077171854898e+46,1.5400090258495737e+44,False
639761967562953.5,1530950388378147.5,1.0750791950083091e+46,1.6082730336544157e+44,False
844247980850465.0,2020285418175162.5,1.5263464353206826e+46,2.8568971152143456e+44,False
1297802848484846.5,3105642216424237.5,5.3321393592364515e+45,4.2583208526111e+44,False
